date,nav_per_unit,short_name
20-10-21,31098.71,SSISCA
21-10-21,31054.39,SSISCA
22-10-21,30957.53,SSISCA
25-10-21,30988.81,SSISCA
26-10-21,30791.69,SSISCA
27-10-21,31003.58,SSISCA
28-10-21,31555.44,SSISCA
29-10-21,31786.68,SSISCA
01-11-21,31917.15,SSISCA
02-11-21,31763.67,SSISCA
03-11-21,31820.05,SSISCA
04-11-21,31690.44,SSISCA
05-11-21,31830.69,SSISCA
08-11-21,32094.9,SSISCA
09-11-21,32351.29,SSISCA
10-11-21,32278.28,SSISCA
11-11-21,32335.0,SSISCA
12-11-21,32306.79,SSISCA
15-11-21,32552.68,SSISCA
16-11-21,32629.44,SSISCA
17-11-21,32461.93,SSISCA
18-11-21,32567.19,SSISCA
19-11-21,32259.22,SSISCA
22-11-21,31782.91,SSISCA
23-11-21,31573.25,SSISCA
24-11-21,32007.16,SSISCA
25-11-21,32502.56,SSISCA
26-11-21,32683.11,SSISCA
29-11-21,32397.51,SSISCA
30-11-21,32165.65,SSISCA
01-12-21,32195.17,SSISCA
02-12-21,32345.95,SSISCA
03-12-21,32110.89,SSISCA
06-12-21,31386.54,SSISCA
07-12-21,30608.47,SSISCA
08-12-21,31207.94,SSISCA
09-12-21,31251.73,SSISCA
10-12-21,31559.53,SSISCA
13-12-21,31508.07,SSISCA
14-12-21,31653.65,SSISCA
15-12-21,31652.75,SSISCA
16-12-21,31720.54,SSISCA
17-12-21,31627.36,SSISCA
19-12-21,31639.22,SSISCA
21-12-21,31434.58,SSISCA
22-12-21,31525.52,SSISCA
23-12-21,31397.14,SSISCA
24-12-21,31148.23,SSISCA
27-12-21,31432.31,SSISCA
28-12-21,31651.01,SSISCA
29-12-21,31854.51,SSISCA
30-12-21,31753.05,SSISCA
31-12-21,31881.89,SSISCA
04-01-22,32190.36,SSISCA
05-01-22,32565.53,SSISCA
06-01-22,32517.02,SSISCA
07-01-22,32470.69,SSISCA
10-01-22,32308.48,SSISCA
11-01-22,31777.96,SSISCA
12-01-22,31564.68,SSISCA
13-01-22,32076.39,SSISCA
14-01-22,31964.51,SSISCA
17-01-22,31852.03,SSISCA
18-01-22,30783.63,SSISCA
19-01-22,30794.76,SSISCA
20-01-22,30856.11,SSISCA
21-01-22,31262.97,SSISCA
24-01-22,31323.28,SSISCA
25-01-22,30519.36,SSISCA
26-01-22,31251.06,SSISCA
27-01-22,31357.74,SSISCA
28-01-22,31177.7,SSISCA
07-02-22,31343.0,SSISCA
08-02-22,31610.3,SSISCA
09-02-22,31977.01,SSISCA
10-02-22,32302.97,SSISCA
11-02-22,32302.2,SSISCA
14-02-22,32310.43,SSISCA
15-02-22,31653.31,SSISCA
16-02-22,31873.53,SSISCA
17-02-22,31928.74,SSISCA
18-02-22,32171.78,SSISCA
21-02-22,32097.1,SSISCA
22-02-22,32198.89,SSISCA
23-02-22,32223.02,SSISCA
24-02-22,32399.47,SSISCA
25-02-22,32012.88,SSISCA
28-02-22,32065.3,SSISCA
01-03-22,32108.93,SSISCA
02-03-22,32098.43,SSISCA
03-03-22,31796.2,SSISCA
04-03-22,32318.59,SSISCA
07-03-22,32327.6,SSISCA
08-03-22,32244.95,SSISCA
09-03-22,31970.07,SSISCA
10-03-22,31947.09,SSISCA
11-03-22,31989.96,SSISCA
14-03-22,31870.95,SSISCA
15-03-22,31434.34,SSISCA
16-03-22,31516.81,SSISCA
17-03-22,31661.61,SSISCA
18-03-22,31603.07,SSISCA
21-03-22,31833.55,SSISCA
22-03-22,32219.94,SSISCA
23-03-22,32428.98,SSISCA
24-03-22,32530.52,SSISCA
25-03-22,32538.24,SSISCA
28-03-22,32802.91,SSISCA
29-03-22,32985.16,SSISCA
30-03-22,33633.47,SSISCA
31-03-22,33529.11,SSISCA
01-04-22,33592.64,SSISCA
04-04-22,34391.77,SSISCA
05-04-22,34326.16,SSISCA
06-04-22,34240.72,SSISCA
07-04-22,34573.0,SSISCA
08-04-22,34176.49,SSISCA
12-04-22,33535.61,SSISCA
13-04-22,33028.2,SSISCA
14-04-22,33733.42,SSISCA
15-04-22,33990.92,SSISCA
18-04-22,33814.11,SSISCA
19-04-22,33405.62,SSISCA
20-04-22,32917.79,SSISCA
21-04-22,32494.26,SSISCA
22-04-22,32290.89,SSISCA
25-04-22,31940.24,SSISCA
26-04-22,29911.96,SSISCA
27-04-22,30791.58,SSISCA
28-04-22,30952.33,SSISCA
29-04-22,31100.24,SSISCA
04-05-22,31374.97,SSISCA
05-05-22,30986.54,SSISCA
06-05-22,31153.95,SSISCA
09-05-22,30465.72,SSISCA
10-05-22,28742.87,SSISCA
11-05-22,29433.88,SSISCA
12-05-22,29816.75,SSISCA
13-05-22,28315.4,SSISCA
16-05-22,26928.79,SSISCA
17-05-22,26796.11,SSISCA
18-05-22,28351.56,SSISCA
19-05-22,28537.29,SSISCA
20-05-22,28390.16,SSISCA
23-05-22,28417.36,SSISCA
24-05-22,27971.71,SSISCA
25-05-22,28172.05,SSISCA
26-05-22,29186.93,SSISCA
27-05-22,29344.54,SSISCA
30-05-22,30048.09,SSISCA
31-05-22,30177.89,SSISCA
01-06-22,30068.83,SSISCA
02-06-22,30232.67,SSISCA
